deposit_count,borrow_count,repay_count,redeem_count,liquidation_count,total_liquidated_collateral_usd,total_liquidated_principal_usd,avg_time_gap,min_time_gap,burst_count,total_transactions,total_deposit_usd,total_borrow_usd,total_repay_usd,total_redeem_usd,total_liquidatcall_usd,is_risky_actual,ML_score_0_1000,score_range
7,4,4,4,0,0.0,0.0,85462239.05263157,16,4,19,6.126566621069986e+20,7.507649082485775e+19,314048265.51567084,1.3645411430779624e+20,0.0,1,510,"[500, 600)"
1,0,0,1,0,0.0,0.0,813384578.0,470869,0,2,7.422608304555364e+21,0.0,0.0,5.882027000141933e+21,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.3489340751139382e+17,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1047698.9233433541,0.0,0.0,0.0,0.0,0,1000,
14,5,10,12,2,2.8475327313271104e+21,2588666119.3882823,37830702.906976745,12,13,43,2.514797765907286e+22,4.2461804624650494e+21,4.250920073749139e+21,1.6048215601223316e+22,0.0,1,160,"[100, 200)"
2,0,0,0,0,0.0,0.0,813379912.0,614834,0,2,9877224529214770.0,0.0,0.0,0.0,0.0,0,1000,
1,1,0,0,0,0.0,0.0,814284812.0,3289,0,2,1.1365237938343968e+16,11211106565134.107,0.0,0.0,0.0,1,0,"[0, 100)"
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1058993.7397646345,0.0,0.0,0.0,0.0,0,1000,
18,29,34,10,0,0.0,0.0,17917688.186813187,0,3,91,2.7059624053352167e+22,1.5687596307683696e+21,35270590758.69816,8.445334335698552e+21,0.0,1,250,"[200, 300)"
2,0,0,0,0,0.0,0.0,813428912.5,614735,0,2,1.1587795716870477e+18,0.0,0.0,0.0,0.0,0,1000,
1,0,0,0,0,0.0,0.0,0.0,0,0,1,1.7323674237750016e+17,0.0,0.0,0.0,0.0,0,1000,
1,0,0,1,0,0.0,0.0,810569292.0,22,1,2,1039028028.6690394,0.0,0.0,1039028050.6484575,0.0,0,1000,
53,48,36,46,0,0.0,0.0,8872926.650273224,18,79,183,3.287158123221894e+23,2.7197812003917258e+23,1.1289551858117457e+23,2.0439523545333922e+23,0.0,1,10,"[0, 100)"
